Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
61,10,4,149,0,Some Random Commen with Id 61
62,10,4,70,3,Some Random Commen with Id 62
63,10,4,127,2,Some Random Commen with Id 63
64,10,4,172,7,Some Random Commen with Id 64
65,10,4,11,7,Some Random Commen with Id 65
66,11,0,22,0,Some Random Commen with Id 66
67,11,0,184,6,Some Random Commen with Id 67
68,11,0,139,6,Some Random Commen with Id 68
69,11,0,181,0,Some Random Commen with Id 69
70,11,0,4,8,Some Random Commen with Id 70
71,11,0,26,1,Some Random Commen with Id 71
72,11,0,152,1,Some Random Commen with Id 72
73,12,8,32,6,Some Random Commen with Id 73
74,12,8,122,8,Some Random Commen with Id 74
75,12,8,44,9,Some Random Commen with Id 75
76,13,9,19,3,Some Random Commen with Id 76
77,13,9,51,5,Some Random Commen with Id 77
78,13,9,191,4,Some Random Commen with Id 78
79,13,9,167,8,Some Random Commen with Id 79
80,13,9,71,4,Some Random Commen with Id 80
81,13,9,155,6,Some Random Commen with Id 81
82,13,9,46,8,Some Random Commen with Id 82
83,14,6,8,3,Some Random Commen with Id 83
84,14,6,137,4,Some Random Commen with Id 84
85,14,6,69,4,Some Random Commen with Id 85
86,15,2,150,1,Some Random Commen with Id 86
87,15,2,54,1,Some Random Commen with Id 87
88,15,2,141,4,Some Random Commen with Id 88
89,15,2,161,0,Some Random Commen with Id 89
90,16,3,52,3,Some Random Commen with Id 90
91,16,3,198,2,Some Random Commen with Id 91
92,17,1,155,5,Some Random Commen with Id 92
93,17,1,49,5,Some Random Commen with Id 93
94,17,1,85,5,Some Random Commen with Id 94
95,17,1,6,0,Some Random Commen with Id 95
96,17,1,89,7,Some Random Commen with Id 96
97,17,1,44,4,Some Random Commen with Id 97
98,17,1,71,6,Some Random Commen with Id 98
99,18,7,90,4,Some Random Commen with Id 99
100,19,9,84,0,Some Random Commen with Id 100
101,20,6,174,5,Some Random Commen with Id 101
102,20,6,171,2,Some Random Commen with Id 102
103,20,6,108,7,Some Random Commen with Id 103
104,20,6,185,1,Some Random Commen with Id 104
105,20,6,63,3,Some Random Commen with Id 105
106,20,6,94,3,Some Random Commen with Id 106
107,21,0,137,5,Some Random Commen with Id 107
108,21,0,163,3,Some Random Commen with Id 108
109,21,0,23,5,Some Random Commen with Id 109
110,21,0,74,5,Some Random Commen with Id 110
111,21,0,141,5,Some Random Commen with Id 111
112,21,0,87,8,Some Random Commen with Id 112
113,21,0,72,6,Some Random Commen with Id 113
114,21,0,124,4,Some Random Commen with Id 114
115,21,0,24,7,Some Random Commen with Id 115
116,22,9,67,6,Some Random Commen with Id 116
117,22,9,101,8,Some Random Commen with Id 117
118,22,9,38,4,Some Random Commen with Id 118
119,22,9,110,6,Some Random Commen with Id 119
120,22,9,118,6,Some Random Commen with Id 120
121,22,9,56,5,Some Random Commen with Id 121
122,22,9,164,7,Some Random Commen with Id 122
123,24,4,18,6,Some Random Commen with Id 123
124,24,4,163,2,Some Random Commen with Id 124
125,27,7,36,3,Some Random Commen with Id 125
126,29,9,197,0,Some Random Commen with Id 126
127,31,5,140,0,Some Random Commen with Id 127
128,31,5,115,1,Some Random Commen with Id 128
129,31,5,58,7,Some Random Commen with Id 129
130,31,5,151,4,Some Random Commen with Id 130
131,32,7,107,9,Some Random Commen with Id 131
132,32,7,28,3,Some Random Commen with Id 132
133,32,7,134,8,Some Random Commen with Id 133
134,32,7,126,2,Some Random Commen with Id 134
135,32,7,76,6,Some Random Commen with Id 135
136,32,7,93,5,Some Random Commen with Id 136
137,33,1,169,8,Some Random Commen with Id 137
138,34,0,17,4,Some Random Commen with Id 138
139,35,0,125,6,Some Random Commen with Id 139
140,35,0,99,3,Some Random Commen with Id 140
141,35,0,167,1,Some Random Commen with Id 141
142,35,0,34,6,Some Random Commen with Id 142
143,35,0,159,1,Some Random Commen with Id 143
144,35,0,25,9,Some Random Commen with Id 144
145,35,0,86,5,Some Random Commen with Id 145
146,36,6,162,0,Some Random Commen with Id 146
147,36,6,155,4,Some Random Commen with Id 147
148,36,6,135,9,Some Random Commen with Id 148
149,36,6,25,1,Some Random Commen with Id 149
150,36,6,23,7,Some Random Commen with Id 150
151,36,6,58,3,Some Random Commen with Id 151
152,36,6,121,3,Some Random Commen with Id 152
153,36,6,154,0,Some Random Commen with Id 153
154,36,6,77,2,Some Random Commen with Id 154
155,37,4,175,0,Some Random Commen with Id 155
156,37,4,150,2,Some Random Commen with Id 156
157,37,4,26,3,Some Random Commen with Id 157
158,37,4,56,5,Some Random Commen with Id 158
159,37,4,147,4,Some Random Commen with Id 159
160,37,4,35,8,Some Random Commen with Id 160
161,37,4,110,4,Some Random Commen with Id 161
162,37,4,76,9,Some Random Commen with Id 162
163,38,5,11,8,Some Random Commen with Id 163
164,38,5,47,8,Some Random Commen with Id 164
165,38,5,111,8,Some Random Commen with Id 165
166,39,2,79,7,Some Random Commen with Id 166
